"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
516102,"Waitaramoa",27,27,15,3735,3888,3930,0.0072289156626506,0.00694444444444444,0.00381679389312977
516201,"Orakei South",9,12,9,3285,3429,3444,0.00273972602739726,0.00349956255468067,0.00261324041811847
516202,"Waiata",18,21,12,4047,4098,4245,0.0044477390659748,0.00512445095168375,0.00282685512367491
516301,"Meadowbank North",78,69,45,5778,6159,6585,0.0134994807892004,0.0112031173891866,0.00683371298405467
516302,"Meadowbank South",33,42,36,4797,4857,5118,0.00687929956222639,0.0086473131562693,0.00703399765533412
516400,"Orakei North",234,270,279,4944,5376,5496,0.0473300970873786,0.0502232142857143,0.050764192139738
516500,"Mission Bay",27,39,33,5208,5367,5469,0.00518433179723502,0.0072666294019005,0.00603400987383434
516601,"Kohimarama West",18,21,15,3048,3243,3333,0.00590551181102362,0.00647548566142461,0.0045004500450045
516602,"Kohimarama East",15,21,21,3291,3570,3759,0.00455788514129444,0.00588235294117647,0.00558659217877095
516700,"St Heliers",24,21,21,4482,4758,4824,0.00535475234270415,0.00441361916771753,0.00435323383084577
516800,"Glendowie",24,24,24,3825,4047,4302,0.00627450980392157,0.00593031875463306,0.00557880055788006
516900,"Glen Innes North",54,36,36,4782,5709,6072,0.0112923462986198,0.00630583289542827,0.00592885375494071
517001,"Glen Innes West",285,246,213,4530,4725,4440,0.0629139072847682,0.0520634920634921,0.047972972972973
517002,"Glen Innes East",150,156,132,2814,2964,2724,0.0533049040511727,0.0526315789473684,0.0484581497797357
517100,"Point England",285,264,186,4200,4227,4305,0.0678571428571429,0.0624556422995032,0.043205574912892
517201,"St Johns",42,72,27,2355,2682,2781,0.0178343949044586,0.0268456375838926,0.00970873786407767
517202,"Stonefields",9,9,12,156,216,2238,0.0576923076923077,0.0416666666666667,0.00536193029490617
517400,"Newmarket",33,39,36,1536,1581,2961,0.021484375,0.0246679316888046,0.0121580547112462
517500,"Kingsland",141,117,108,4005,4329,4632,0.0352059925093633,0.027027027027027,0.0233160621761658
517600,"St Lukes",99,84,135,3366,4119,4683,0.0294117647058824,0.0203932993445011,0.0288276745675849
517701,"Sandringham North",48,45,51,2847,3132,3204,0.0168598524762908,0.014367816091954,0.0159176029962547
517702,"Sandringham West",102,81,81,4080,4413,4845,0.025,0.0183548606390211,0.01671826625387
517703,"Sandringham East",60,51,51,3150,3258,3273,0.019047619047619,0.0156537753222836,0.0155820348304308
517800,"Mt Albert Central",75,90,90,5406,5640,5673,0.013873473917869,0.0159574468085106,0.0158646218931782
517901,"Springleigh",60,57,54,2463,2772,2832,0.0243605359317905,0.0205627705627706,0.0190677966101695
517902,"Owairaka West",57,60,60,2637,2655,2547,0.0216154721274175,0.0225988700564972,0.0235571260306243
517903,"Owairaka East",81,63,69,4044,4137,4281,0.0200296735905045,0.0152284263959391,0.0161177295024527
518101,"Mt Eden North",102,90,78,2730,3396,3225,0.0373626373626374,0.0265017667844523,0.0241860465116279
518102,"Sherbourne",45,33,48,2823,2895,2775,0.0159404888416578,0.0113989637305699,0.0172972972972973
518201,"Balmoral",66,57,45,5127,5406,5442,0.0128730251609128,0.0105438401775805,0.00826901874310915
518202,"Mt Eden East",42,27,27,2649,2724,2670,0.0158550396375991,0.00991189427312775,0.0101123595505618
518301,"Maungawhau",60,33,30,3567,3666,3918,0.0168208578637511,0.00900163666121113,0.00765696784073507
518302,"Mt Eden South",57,39,45,4359,4716,4824,0.0130763936682725,0.00826972010178117,0.00932835820895522
518500,"Three Kings",105,99,75,4743,5301,5433,0.0221378874130297,0.0186757215619694,0.0138045278851463
518600,"Royal Oak",48,45,51,5052,5421,5592,0.00950118764845606,0.00830105146651909,0.00912017167381974
518701,"Hillsborough West",48,60,72,6057,6843,7347,0.0079247152055473,0.00876808417360807,0.00979991833401388
518702,"Hillsborough East",45,54,54,3858,4239,4281,0.0116640746500778,0.0127388535031847,0.0126138752627891
518801,"Walmsley",129,87,69,3600,3681,3918,0.0358333333333333,0.0236348818255909,0.0176110260336907
518802,"Wesley",66,51,60,2508,2649,2871,0.0263157894736842,0.0192525481313703,0.0208986415882968
518803,"Akarana",96,96,87,4863,5211,5571,0.0197409006785935,0.0184225676453656,0.0156165858912224
